,id,screen_name,astroturf,fake_follower,financial,other,overall,self_declared,spammer,english,universal
0,1525317401025335296,Aaha3bia,0.4,4.6,3.2,4.4,4.6,3.1,2.2,0.8748575042966269,0.8885263643630983
0,1525316801667776517,RafisMK7,0.4,3.9,4.4,4.1,4.4,3.1,2.0,0.8524047631581662,0.8859379719494712
0,1480418139280068611,vinoth_muthaiya,0.2,4.7,2.8,4.1,4.7,3.3,2.9,0.9023146148459196,0.9338419498718862
0,2713560494,wenaichi,0.2,2.0,0.2,1.8,2.0,0.0,0.6,0.7952555385005927,0.43650814830094437
0,1927189855,dcninow,0.2,1.6,0.2,1.8,0.8,0.0,0.4,0.6004883262510591,0.7089830786080018
0,1430363505807413250,keyur_gaming,0.2,4.2,3.6,3.8,4.2,2.6,2.0,0.8287549877594508,0.8148417533461276
0,1238601976977526784,burnette0421,0.2,1.2,0.2,0.6,0.2,0.0,0.0,0.3342309004634953,0.40673978557586005
0,1293970357561499655,DiCambridge,0.2,4.1,2.8,4.9,4.9,2.8,0.4,0.9307543294922915,1.0
0,4328933565,mhnusm,0.2,0.8,0.4,2.2,1.2,0.1,0.4,0.7384783166429812,0.37678996390568303
0,226049400,KirubaRathnaRaj,0.1,4.0,0.9,4.0,4.0,2.9,3.1,0.8100783815308749,0.859576255252869
0,1524625600371113986,Nicole45907101,1.3,2.4,0.4,1.4,1.8,0.5,1.5,0.7892294694438972,0.799570188835745
0,871574764912902144,Vicky85078906,0.6,4.1,2.8,4.1,4.1,2.8,2.2,0.8199148539199458,0.8327856038833207
0,2609651334,nigellazhai,0.2,3.6,1.9,4.1,4.1,3.2,3.2,0.8199148539199458,0.8662905376040458
0,397452567,petrrk_,0.1,2.9,0.3,2.8,2.9,0.6,1.6,0.7967905786038864,0.8053787930995948
0,1185907848850616321,Cherise_Black79,0.0,1.2,0.1,0.3,0.2,0.0,0.4,0.30618807248975083,0.43650814830094437
0,1386244765105246208,LARRY32894620,0.9,2.7,1.2,2.7,2.9,2.9,1.8,0.7968599400514179,0.8054092120440788
0,791827599399854080,corbenmahaffy18,0.3,0.1,0.0,0.2,0.2,0.0,0.1,0.2787259978325127,0.40673978557586005
0,1265931409765654531,Rafi71946453,0.4,5.0,4.0,3.4,5.0,2.6,2.0,0.9373635156266058,1.0
0,1220954233,Otis5555,0.6,3.1,1.4,3.2,3.4,3.4,2.9,0.797075908158591,0.9197876419218655
0,1445826602470985734,shadowthemanesk,0.2,4.0,0.8,2.6,4.0,0.2,1.8,0.812935016236137,0.8148417533461276
0,924514452199763969,CalmdownScooter,1.6,0.0,0.0,0.2,0.0,0.0,0.0,0.22631829961109876,0.28846389695411967
0,27937214,LakeOzarkNow,0.4,2.0,0.4,3.2,1.8,2.0,0.6,0.7920317685697057,0.8052746490850863
0,1031241309670047746,Soban_03,0.6,2.8,1.7,2.8,2.1,1.0,1.4,0.795728227940139,0.8030212452554465
0,1524310581196386304,shawnbagale,0.0,4.4,2.4,4.9,4.9,4.0,2.4,0.9307543294922915,0.904303821618659
0,1525315255521497088,Cristia64231537,0.2,4.6,4.4,4.8,4.8,2.9,2.6,0.9158377984126878,1.0
0,1525315498036060162,iAyyg_,0.1,4.8,1.0,4.9,4.9,4.2,4.0,0.9307543294922915,0.9270685798190942
0,1270436072821063687,jokerbgm07,0.4,4.9,3.8,4.6,4.9,2.8,2.6,0.9307543294922915,0.9197876419218655
0,1524288727677546496,captainDelhi,0.1,3.9,0.4,4.0,4.0,3.8,2.3,0.812935016236137,0.8372129323854712
0,1525316107220951040,AbdulrosheedNa1,0.0,5.0,2.4,5.0,5.0,3.2,2.3,1.0,0.9270685798190942
0,1259627676970758145,SusanSa23067469,0.2,2.2,0.4,1.5,1.8,0.8,0.6,0.7907586934369296,0.6608500314332488
0,1525316912720519170,GHCIQ3pNB9ffpD,0.0,4.4,2.5,5.0,5.0,3.3,1.8,0.9373635156266058,0.859576255252869
0,3404974485,Daviidavz,0.0,4.5,1.2,4.4,4.5,2.7,3.6,0.8670116134145492,0.8372129323854712
0,1394922452,BBFam24,0.4,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
0,948054613973917696,Rizu88601929,0.2,1.2,0.9,1.0,0.8,0.0,0.6,0.6414184221423734,0.5982419966968565
0,1507321387543056388,basantababubas4,0.2,4.6,3.0,4.8,4.8,3.0,0.9,0.923535423667034,1.0
0,65536711,jjoehandyy,0.0,1.4,0.2,0.4,0.7,0.0,0.2,0.5778862084370772,0.7219510972984345
0,101266286,mcqsnotes,0.1,3.1,0.4,3.9,3.9,3.6,2.7,0.8076035454448582,0.8532920387559139
0,186701698,khinmaungwin91,1.4,2.9,1.0,3.6,3.6,1.2,1.4,0.7998362042473794,0.8064216072785402
0,1525311004359409665,Caeser_USA,0.4,4.8,4.3,3.2,4.8,2.7,2.2,0.923535423667034,0.9270685798190942
0,1525316714740719617,Gistloversggram,0.1,5.0,2.6,4.8,5.0,2.6,4.8,1.0,1.0
0,69955458,sammas004,0.4,1.9,0.4,3.3,1.5,3.2,0.8,0.7759887465100499,0.8115094045580712
0,1521586452743684096,1RuthlessRuby,0.2,5.0,2.6,4.4,5.0,3.2,3.5,1.0,1.0
0,547869077,king_cordova,0.1,2.4,0.5,1.4,3.6,0.2,3.6,0.7998362042473794,0.805401613592116
0,1525317314899492866,yougongtong1,0.2,5.0,3.5,3.2,5.0,2.8,1.8,1.0,1.0
